iter	Logloss
0	0.6125410142
1	0.5495854673
2	0.5033617789
3	0.4679289816
4	0.4418175892
5	0.4230008676
6	0.4054588231
7	0.3899913878
8	0.380419453
9	0.3713867443
10	0.3631230597
11	0.3574711406
12	0.3510960638
13	0.3456487573
14	0.3394197139
15	0.3341886474
16	0.3305333087
17	0.3267810357
18	0.3244041779
19	0.3192536203
20	0.3157474109
21	0.3121498618
22	0.3092891373
23	0.3066381631
24	0.3037611915
25	0.3016554608
26	0.2997584672
27	0.2963229492
28	0.2937732201
29	0.2917414117
30	0.2898431813
31	0.2874360975
32	0.2858029022
33	0.2838553305
34	0.2813503893
35	0.2794638741
36	0.2775571173
37	0.2756612085
38	0.2736626433
39	0.2723117414
40	0.2705760081
41	0.269124302
42	0.2677647658
43	0.2661919211
44	0.2650396423
45	0.2636537423
46	0.2625993733
47	0.261300271
48	0.2596795736
49	0.2581882311
50	0.2567461231
51	0.2551673689
52	0.253874471
53	0.2525763729
54	0.251293572
55	0.2499536463
56	0.248633077
57	0.2470669793
58	0.245928409
59	0.2449391994
60	0.2440189538
61	0.2427602412
62	0.2414694807
63	0.2406725636
64	0.2394466685
65	0.2384704479
66	0.2373013105
67	0.2362872513
68	0.235592169
69	0.2349984039
70	0.2340605244
71	0.23335827
72	0.2322993394
73	0.2312627202
74	0.2297958932
75	0.2290970582
76	0.2284388213
77	0.2273720144
78	0.2267034301
79	0.2251763711
80	0.2244020174
81	0.2234322073
82	0.2225962756
83	0.2218338499
84	0.2210121896
85	0.220461783
86	0.2194150684
87	0.2186238731
88	0.2180889327
89	0.2171999392
90	0.2159674971
91	0.2149853361
92	0.2142868925
93	0.2130902464
94	0.2122789831
95	0.211331436
96	0.2105124947
97	0.2099065835
98	0.2092790393
99	0.2085811621
100	0.2079104538
101	0.2069977334
102	0.206304658
103	0.2056463753
104	0.2048575801
105	0.2040074774
106	0.2031925257
107	0.2025785344
108	0.2020898529
109	0.2012967623
110	0.2005737239
111	0.1999741854
112	0.1994163256
113	0.1989737724
114	0.1977144798
115	0.1969503651
116	0.1961764281
117	0.1955296626
118	0.1949400077
119	0.194253901
120	0.1935944675
121	0.1930694552
122	0.1924387851
123	0.1915613386
124	0.191044146
125	0.1905513869
126	0.1899513731
127	0.1893906109
128	0.1887042943
129	0.1881803593
130	0.1876662361
131	0.1871461387
132	0.1863978368
133	0.1857443425
134	0.1851452702
135	0.1847385698
136	0.1841748687
137	0.1835505089
138	0.1830756675
139	0.1826697379
140	0.182170017
141	0.1815977958
142	0.1811102806
143	0.180543957
144	0.1801783363
145	0.1796131376
146	0.1791362914
147	0.1787199025
148	0.1782358485
149	0.1779023728
150	0.1774616297
151	0.1772057998
152	0.1767437597
153	0.176319244
154	0.1759606339
155	0.1756035137
156	0.1752105117
157	0.1748699075
158	0.1744611091
159	0.1742047751
160	0.1736603352
161	0.1732965905
162	0.1728087174
163	0.172417893
164	0.1720417626
165	0.171548022
166	0.1709303936
167	0.1704764945
168	0.1701491172
169	0.1695505464
170	0.1691261775
171	0.1687553701
172	0.1684568995
173	0.1681230459
174	0.1676391268
175	0.1672617508
176	0.1667916702
177	0.1663956316
178	0.1660845046
179	0.1658417666
180	0.1653375741
181	0.1648749173
182	0.164420817
183	0.1639035941
184	0.1634871674
185	0.1631428104
186	0.1625820411
187	0.1622202867
188	0.1617283401
189	0.1612733767
190	0.1607850027
191	0.1604519485
192	0.1601188378
193	0.1597408072
194	0.1591436324
195	0.1587270976
196	0.1584467141
197	0.1580758555
198	0.1577202911
199	0.157306276
200	0.1569265028
201	0.1566995406
202	0.1561549745
203	0.1558103052
204	0.1554952327
205	0.1551742914
206	0.1548821313
207	0.1545104702
208	0.1541395414
209	0.1538803318
210	0.1535192758
211	0.1531889083
212	0.1527151038
213	0.1524414044
214	0.1520911275
215	0.1517453338
216	0.1514132656
217	0.1512043388
218	0.1508991424
219	0.1505597773
220	0.1500603847
221	0.1496958598
222	0.1493919365
223	0.1490540911
224	0.1487789646
225	0.1485666164
226	0.1482214835
227	0.1479415753
228	0.1476284604
229	0.1473043386
230	0.1468924811
231	0.146527263
232	0.1461785733
233	0.1459341483
234	0.145637439
235	0.1453648612
236	0.1450489149
237	0.1448741267
238	0.14468331
239	0.1444431804
