iter	Passed	Remaining
0	34	8312
1	68	8181
2	105	8316
3	143	8440
4	180	8469
5	220	8601
6	260	8670
7	304	8843
8	349	8978
9	400	9215
10	445	9264
11	488	9279
12	530	9256
13	571	9222
14	611	9178
15	655	9175
16	697	9152
17	740	9126
18	782	9102
19	828	9118
20	871	9093
21	914	9061
22	957	9031
23	999	8992
24	1041	8960
25	1084	8930
26	1126	8889
27	1169	8854
28	1214	8836
29	1257	8803
30	1300	8768
31	1344	8738
32	1388	8706
33	1434	8693
34	1478	8659
35	1522	8625
36	1565	8587
37	1607	8542
38	1649	8500
39	1691	8458
40	1733	8412
41	1774	8365
42	1815	8316
43	1857	8273
44	1901	8241
45	1944	8198
46	1988	8166
47	2032	8129
48	2075	8089
49	2119	8053
50	2164	8019
51	2207	7980
52	2250	7939
53	2290	7890
54	2332	7844
55	2375	7806
56	2423	7781
57	2465	7736
58	2507	7692
59	2550	7651
60	2592	7608
61	2636	7567
62	2679	7529
63	2720	7482
64	2760	7432
65	2804	7394
66	2846	7350
67	2889	7307
68	2931	7264
69	2971	7215
70	3011	7169
71	3054	7127
72	3095	7081
73	3139	7042
74	3186	7010
75	3229	6968
76	3273	6929
77	3314	6884
78	3361	6850
79	3405	6810
80	3449	6772
81	3493	6730
82	3531	6680
83	3576	6641
84	3619	6601
85	3661	6557
86	3704	6514
87	3750	6477
88	3801	6449
89	3851	6419
90	3900	6387
91	3943	6344
92	3986	6301
93	4031	6262
94	4076	6221
95	4119	6179
96	4163	6138
97	4208	6097
98	4251	6055
99	4294	6011
100	4337	5969
101	4386	5934
102	4431	5894
103	4473	5850
104	4515	5805
105	4556	5759
106	4598	5716
107	4640	5672
108	4681	5626
109	4721	5580
110	4761	5533
111	4806	5492
112	4851	5452
113	4893	5408
114	4935	5364
115	4979	5322
116	5021	5279
117	5064	5235
118	5106	5192
119	5151	5151
120	5194	5108
121	5237	5066
122	5279	5022
123	5322	4979
124	5366	4937
125	5414	4898
126	5461	4859
127	5507	4818
128	5553	4778
129	5598	4736
130	5643	4695
131	5689	4654
132	5733	4612
133	5776	4569
134	5820	4527
135	5864	4484
136	5905	4439
137	5949	4397
138	5993	4354
139	6041	4315
140	6090	4276
141	6141	4238
142	6195	4202
143	6243	4162
144	6289	4120
145	6335	4079
146	6384	4038
147	6430	3997
148	6472	3952
149	6515	3909
150	6557	3864
151	6599	3820
152	6642	3777
153	6686	3733
154	6727	3689
155	6772	3646
156	6815	3603
157	6857	3559
158	6901	3516
159	6945	3472
160	6987	3428
161	7028	3384
162	7067	3338
163	7104	3292
164	7152	3250
165	7208	3213
166	7255	3171
167	7304	3130
168	7353	3089
169	7405	3049
170	7453	3007
171	7501	2965
172	7549	2923
173	7597	2881
174	7641	2838
175	7684	2794
176	7729	2751
177	7770	2706
178	7812	2662
179	7854	2618
180	7897	2574
181	7939	2530
182	7981	2485
183	8025	2442
184	8068	2398
185	8111	2354
186	8154	2311
187	8197	2267
188	8240	2223
189	8279	2178
190	8320	2134
191	8363	2090
192	8412	2048
193	8455	2005
194	8498	1961
195	8542	1917
196	8582	1873
197	8624	1829
198	8667	1785
199	8710	1742
200	8753	1698
201	8798	1655
202	8844	1612
203	8885	1567
204	8934	1525
205	8982	1482
206	9034	1440
207	9077	1396
208	9121	1352
209	9165	1309
210	9210	1265
211	9253	1222
212	9295	1178
213	9342	1135
214	9387	1091
215	9432	1048
216	9474	1004
217	9516	960
218	9558	916
219	9601	872
220	9645	829
221	9687	785
222	9730	741
223	9772	698
224	9814	654
225	9857	610
226	9901	567
227	9943	523
228	9986	479
229	10031	436
230	10072	392
231	10113	348
232	10155	305
233	10197	261
234	10241	217
235	10284	174
236	10328	130
237	10372	87
238	10421	43
239	10466	0
